# id: Unique integer ID for this symbol
# parent_id: ID of parent symbol, or null for module
# kind: Symbol kind: module | class | function | method
# name: Symbol name
# module_path: Module file path relative to scan root
# lineno: Starting line number (1-based)
# signature: Function or method signature (best-effort)
# doc: First line of docstring, if any
id,parent_id,kind,name,module_path,lineno,signature,doc
0,,module,__init__,__init__.py,1,,
1,,module,ast_scanner,ast_scanner.py,1,,
2,1,class,AstScanner,ast_scanner.py,9,,"Python AST scanner that produces a flat, graph-style representation"
3,2,method,__init__,ast_scanner.py,32,"(self, root, ignore_file, output)",
4,2,method,scan,ast_scanner.py,43,(self),Scan the project root for Python files and extract AST symbols.
5,2,method,_next_symbol_id,ast_scanner.py,62,(self),
6,2,method,_add_symbol,ast_scanner.py,65,"(self, *, parent_id, kind, name, module_path, lineno, signature, doc)",
7,2,method,_kind_of,ast_scanner.py,95,"(self, symbol_id)",
8,2,method,_scan_file,ast_scanner.py,100,"(self, path)",
9,1,class,_SymbolVisitor,ast_scanner.py,123,,
10,9,method,__init__,ast_scanner.py,124,"(self, scanner, module_path)",
11,9,method,visit_Module,ast_scanner.py,129,"(self, node)",
12,9,method,visit_ClassDef,ast_scanner.py,148,"(self, node)",
13,9,method,visit_FunctionDef,ast_scanner.py,165,"(self, node)",
14,9,method,visit_AsyncFunctionDef,ast_scanner.py,168,"(self, node)",
15,9,method,_handle_function,ast_scanner.py,171,"(self, node)",
16,1,function,_format_signature,ast_scanner.py,200,(node),Best-effort static signature formatter.
17,16,function,arg_name,ast_scanner.py,208,(a),
18,,module,base,base.py,1,,
19,18,class,ScannerBase,base.py,7,,
20,19,method,__init__,base.py,10,"(self, root, ignore_file, output)",
21,19,method,reset,base.py,36,(self),
22,19,method,_next_id_value,base.py,40,(self),
23,19,method,_default_output_path,base.py,45,"(self, suffix)",
24,19,method,_resolve_output_path,base.py,53,"(self, output, suffix)",Resolve output path with the following priority:
25,19,method,_is_ignored,base.py,73,"(self, path)",Check whether a filesystem path should be ignored according to
26,19,method,to_dict,base.py,98,(self),
27,19,method,to_json,base.py,108,"(self, output, *, indent, ensure_ascii)",
28,19,method,to_csv,base.py,129,"(self, output, *, include_schema_comment)",
29,,module,commands.__init__,commands/__init__.py,1,,
30,,module,commands.cli,commands/cli.py,1,,
31,30,function,main,commands/cli.py,11,(),
32,,module,scanner,scanner.py,1,,
33,32,class,Scanner,scanner.py,8,,
34,33,method,scan,scanner.py,19,(self),Scan the filesystem tree rooted at ``self.root``.
35,33,method,_walk,scanner.py,38,"(self, path, parent_id)",Recursively walk the directory tree and collect nodes.
36,,module,utils,utils.py,1,,
37,36,function,makedir_exist_ok,utils.py,6,(path),
38,36,function,load_ignore_spec,utils.py,10,(ignore_file),
